source_record_id,scientific_name,common_name,normalized_scientific,normalized_common
"openfarm:ipomoea-batatas:sweet-potato:47739","Ipomoea batatas","sweet potato","ipomoea batatas","sweet potato"
"openfarm:gilia-capitata:bluehead-gilia:40864","Gilia capitata","bluehead gilia","gilia capitata","bluehead gilia"
"openfarm:plectranthus-hilliardiae:unknown:70503","Plectranthus hilliardiae","","plectranthus hilliardiae",""
"openfarm:scorzonera-schweinfurthii:unknown:81086","Scorzonera schweinfurthii","","scorzonera schweinfurthii",""
"openfarm:merxmuellera-dura:unknown:57392","Merxmuellera dura","","merxmuellera dura",""
"openfarm:papaver-nudicaule-americanum:icelandic-poppy-islandmohn-pulchinella-improved-orange:65011","Papaver nudicaule ssp. americanum","Icelandic poppy, Islandmohn, Pulchinella, Improved Orange","papaver nudicaule","icelandic poppy islandmohn pulchinella improved orange"
"openfarm:agapanthus-comptonii-longitubus:unknown:2550","Agapanthus comptonii ssp. longitubus","","agapanthus comptonii",""
"openfarm:anthurium-formosum:unknown:6585","Anthurium formosum","","anthurium formosum",""
"openfarm:surirella-fastuosa-cuneata:unknown:87297","Surirella fastuosa var. cuneata","","surirella fastuosa",""
"openfarm:trachymene:unknown:90552","Trachymene","","trachymene",""
"openfarm:acacia-hilliana:unknown:547","Acacia hilliana","","acacia hilliana",""
"openfarm:calamintha-sylvatica:woodland-calamint-common-calamint-calaminta-neveda-maior:14514","Calamintha sylvatica","woodland calamint, common calamint, calaminta, neveda maior","calamintha sylvatica","woodland calamint calamint calaminta neveda maior"
"openfarm:tetradesmus-wisconsinensis:unknown:88804","Tetradesmus wisconsinensis","","tetradesmus wisconsinensis",""
"openfarm:nama-carmosum:unknown:59979","Nama carmosum","","nama carmosum",""
"openfarm:dipcadi:unknown:30124","Dipcadi sp.","","dipcadi",""
"openfarm:oxytropis-besseyi-besseyi:bessey-locoweed:64317","Oxytropis besseyi var. besseyi","Bessey's locoweed","oxytropis besseyi","bessey locoweed"
"openfarm:gonyaula-diacantha:unknown:41911","Gonyaulax diacantha","","gonyaula diacantha",""
"openfarm:pteryxia-hendersonii:henderson-desertparsley-henderson-wavewing-henderson-desertparsley-henderson-springparsley:74236","Pteryxia hendersonii","Henderson desertparsley, Henderson's wavewing, Henderson's desertparsley, Henderson's springparsley","pteryxia hendersonii","henderson desertparsley henderson wavewing henderson desertparsley henderson springparsley"
"openfarm:ludwigia-peruviana:unknown:54396","Ludwigia peruviana","","ludwigia peruviana",""
"openfarm:mallomonas-pseudocoronata:unknown:55709","Mallomonas pseudocoronata","","mallomonas pseudocoronata",""
